code|metier|qualification|taux_col17|groupe
OCC_SOUDEUR|Soudeur|NULL|79.05|occupation
OCC_SOUDEUR_PIPELINE|Soudeur de pipeline et de distribution|NULL|84.25|occupation
OCC_SOUDEUR_TUYAU|Soudeur en tuyauterie|NULL|84.40|occupation
OCC_GASFITTER|Spécialiste en branchement d'immeubles (gas fitter)|NULL|83.31|occupation
NS_AGENT_SST|Agent de prévention SST|NULL|107.28|non_syndique
NS_ESTIMATEUR|Estimateur|NULL|149.55|non_syndique
NS_GERANT_PROJET|Gérant de projet|NULL|139.32|non_syndique
NS_INGENIEUR|Ingénieur|NULL|150.19|non_syndique
NS_PERS_AUX|Personnel auxiliaire|NULL|56.10|non_syndique
NS_SURINTENDANT|Surintendant de chantier|NULL|140.68|non_syndique
NS_TECH_IMMO_JR|Technicien en immotique (junior)|NULL|91.75|non_syndique
NS_TECH_IMMO|Technicien en immotique|NULL|109.04|non_syndique
NS_TECH_ADMIN|Technicien en administration|NULL|100.44|non_syndique
