metier|qualification|taux_salaire|salaire_brut|cout_horaire_mo|total_avant_admin
Tireur de joints (plâtrier)|Apprenti période 2|33.17|37.48|58.46|74.69
Tireur de joints (plâtrier)|Apprenti période 3|40.28|45.52|69.03|85.26
Tireur de joints (peintre)|Compagnon|47.51|53.69|80.45|96.68
Tireur de joints (peintre)|Apprenti période 1|28.51|32.22|51.26|67.49
Tireur de joints (peintre)|Apprenti période 2|33.26|37.58|58.32|74.55
Tireur de joints (peintre)|Apprenti période 3|40.38|45.63|68.92|85.15
Tuyauteur|Compagnon|50.79|57.39|84.40|100.63
Tuyauteur|Apprenti période 1|25.40|28.70|46.60|62.83
Tuyauteur|Apprenti période 2|30.47|34.43|53.98|70.21
Tuyauteur|Apprenti période 3|35.55|40.17|61.34|77.57
Tuyauteur|Apprenti période 4|43.17|48.78|72.41|88.64
Chef d'équipe (charpentier-menuisier)||54.17|61.21|90.60|106.83
Chef de groupe (charpentier-menuisier)||55.18|62.35|92.09|108.32
Chauffeur de chaudière à vapeur||40.78|46.08|69.45|85.68
Chauffeur, classe IV||36.21|40.92|62.81|79.04
Commis||27.78|31.39|51.62|67.85
Conducteur de camion classe AA||43.23|48.85|73.60|89.83
Conducteur de camion classe A||41.67|47.09|71.33|87.56
Conducteur de camion classe B||40.94|46.26|70.26|86.49
Conducteur de camion classe C||40.41|45.66|69.47|85.70
Gardien||20.75|23.45|41.16|57.39
Homme de service sur machines lourdes||39.44|44.57|67.85|84.08
Magasinier||33.09|37.39|59.51|75.74
Manoeuvre (journalier)||40.19|45.41|70.05|86.28
Manoeuvre (pipeline)||40.83|46.14|69.89|86.12
Manoeuvre (travaux de couverture)||40.45|45.71|71.35|87.58
Manœuvre (maçonnerie)||41.91|47.36|73.34|89.57
Manoeuvre en décontamination||45.22|51.10|77.55|93.78
Manoeuvre spécialisé||40.83|46.14|71.02|87.25
Manoeuvre spécialisé (carreleur)||42.04|47.51|72.38|88.61
Manoeuvre spécialisé (couverture)||41.09|46.43|72.32|88.55
Opér. d'appareils de levage cl.A||44.38|50.15|75.29|91.52
Opér. d'appareils de levage cl.B||42.54|48.07|72.59|88.82
Opérateur de génératrice||41.70|47.12|71.36|87.59
Opér. de pompes et compres.||42.86|48.43|72.83|89.06
Opér. de pompes et compr. (p. à ligne)||42.86|48.43|72.83|89.06
Op. d'usines fixes ou mobiles||43.28|48.91|74.15|90.38
Préposé aux pneus et au déboss. de machines lourdes||44.47|50.25|75.19|91.42
Soudeur||47.40|53.56|79.05|95.28
Soudeur de pipeline et soudeur de distribution||50.79|57.39|84.25|100.48
Soudeur en tuyauterie||50.79|57.39|84.40|100.63
Spécialiste en branchement d'immeubles (gas fitter)||50.33|56.87|83.31|99.54
Agent de prévention SST||53.64|53.64||107.28
Estimateur||65.02|65.02||149.55
Gérant de projet||69.66|69.66||139.32
Ingénieur||65.30|65.30||150.19
Personnel auxiliaire||24.39|24.39||56.10
Surintendant de chantier||70.34|70.34||140.68
Technicien en immotique (junior)||39.89|39.89||91.75
Technicien en immotique||47.41|47.41||109.04
Technicien en administration||43.67|43.67||100.44
